id;domandeDeploy;domandeDelivery;costs;timeToValue;regulatoryCompliance;control;governance;availability;customizability;migrationIntegration;contestoEconomico;contestoOrganizzativo;contestoTecnologico;contestoGiuridico;domanda;publicCloud;communityOnPremise;communityOffPremise;hybridCloud;privateOnPremise;privateOffPremise;noCloudFit;iaaS;paaS;saaS;bPaaS
1;;;;;;;;;;;;;;;C'Š la necessit… di scalare rapidamente le risorse IT per far fronte a picchi di lavoro?;;;;;;;;;;;
2;;;;;;;;;;;;;;;L'esigenza cloud sar… presente solo per un tempo limitato ?;;;;;;;;;;;
3;;;;;;;;;;;;;;;Dispongo di una server farm on-premises ?;;;;;;;;;;;
4;;;;;;;;;;;;;;;Dispongo di un'infrastruttura cloud privata ?;;;;;;;;;;;
5;;;;;;;;;;;;;;;Dispongo di un team per manutenzione/aggiornamento software ?;;;;;;;;;;;
6;;;;;;;;;;;;;;;Dispongo di un team per la manutenzione/aggiornamento della server farm ?;;;;;;;;;;;
7;;;;;;;;;;;;;;;Ho necessit… di ottenere un servizio nell'immediato ?;;;;;;;;;;;
8;;;;;;;;;;;;;;;Posso disporre di un team atto a gestire la contraction con i cloud provider ?;;;;;;;;;;;
9;;;;;;;;;;;;;;;Il servizio coinvolge funzionalit… e/o dati mission critical ?;;;;;;;;;;;
10;;;;;;;;;;;;;;;Ho necessit… di dimostrare dove sono localizzati i dati della mia applicazione?;;;;;;;;;;;
11;;;;;;;;;;;;;;;"Ho la necessit… di minimizzare la ""power consuption""";;;;;;;;;;;
12;;;;;;;;;;;;;;;Desidero avere il controllo esclusivo sui dati ?;;;;;;;;;;;
13;;;;;;;;;;;;;;;La mia applicazione pu• essere distribuita tra ambiente on-premises ed off-premises?;;;;;;;;;;;
14;;;;;;;;;;;;;;;I dati che verranno trattati sono di natura confidenziale?;;;;;;;;;;;
15;;;;;;;;;;;;;;;Dispongo internamente di expertise per valutare con precisione le prestazioni e l'idoneit… dei vendor ?;;;;;;;;;;;
16;;;;;;;;;;;;;;;Dispongo di una funzione aziendale atta a gestire le implicazioni legali legate all'utilizzo di soluzioni Cloud ?;;;;;;;;;;;
17;;;;;;;;;;;;;;;Internamente all'azienda sono disponibili skills legati all'ambiente Cloud?;;;;;;;;;;;
18;;;;;;;;;;;;;;;Internamente all'azienda sono disponibili skills legati all'integrazione tra applicazioni?;;;;;;;;;;;
19;;;;;;;;;;;;;;;Desidero stabilire quali siano i meccanismi di monitoring ed utilizzo delle risorse legate al servizio ?;;;;;;;;;;;
20;;;;;;;;;;;;;;;Ho necessit… che i servizi siano utilizzabili esternamente al perimetro aziendale?;;;;;;;;;;;
21;;;;;;;;;;;;;;;Internamente all'azienda sono disponibili skills legati alla sicurezza in ambiente Cloud?;;;;;;;;;;;
22;;;;;;;;;;;;;;;Devo migrare funzionalit… gi… esistenti?;;;;;;;;;;;
23;;;;;;;;;;;;;;;Desidero mantenere costantemente allineate le risorse IT e le esigenze di business ?;;;;;;;;;;;
24;;;;;;;;;;;;;;;Il reparto IT della mia azienda ha gi… esperienza nel gestire risorse outsourced?;;;;;;;;;;;
25;;;;;;;;;;;;;;;La mia azienda Š in grado di rivalutare continuamente il mercato Cloud e le proprie offerte, in base al continuo miglioramento dei servizi e delle tecnologie sottostanti ?;;;;;;;;;;;
26;;;;;;;;;;;;;;;Ho la necessit… di realizzare un ambiente di test e sviluppo?;;;;;;;;;;;
27;;;;;;;;;;;;;;;Desidero ridurre strategicamente a medio/lungo termine il TCO ?;;;;;;;;;;;
28;;;;;;;;;;;;;;;Un cambiamento del processo di business richiede un cambiamento all'applicativo che lo supporta?;;;;;;;;;;;
29;;;;;;;;;;;;;;;Desidero avere accesso e sperimentare, in modo veloce, funzionalit… nuove?;;;;;;;;;;;
30;;;;;;;;;;;;;;;Il piano strategico aziendale prevede la possibilit… di divenire Cloud Provider?;;;;;;;;;;;
31;;;;;;;;;;;;;;;Si vuole sperimentare l'adeguatezza di nuovi prodotti e servizi a supporto dei processi ?;;;;;;;;;;;
32;;;;;;;;;;;;;;;Il servizio Cloud richiesto deve supportare l'interazione con pi— organizzazioni che hanno relazioni ed interessi comuni ? ;;;;;;;;;;;
33;;;;;;;;;;;;;;;"Le organizzazioni coinvolte hanno la possibilit… di collaborare su una piattaforma condivisa in un ""Business Service Environment""?";;;;;;;;;;;
34;;;;;;;;;;;;;;;"Le informazioni e gli asset creati nel corso di una collaborazione possono essere condivisi (o la loro ""Intellectual Property"" appartiene all'azienda) ?";;;;;;;;;;;
35;;;;;;;;;;;;;;;La legislazione vigente consente lo storage e l'accesso ai dati coinvolti nel servizio Cloud in un'infrastruttura pubblica?;;;;;;;;;;;
36;;;;;;;;;;;;;;;"I dati su cui il servizio si basa possono essere isolati effettivamente in modo da ottenere  uno storage ed un accesso ""sicuro""?";;;;;;;;;;;
37;;;;;;;;;;;;;;;Si intende rinnovare e modernizzare servizi ed applicativi software alla fine del loro ciclo di vita ?;;;;;;;;;;;
38;;;;;;;;;;;;;;;Si dispone di skill necessari a condurre una Cloud Transition?;;;;;;;;;;;
39;;;;;;;;;;;;;;;Sono presenti skills interni per sviluppare e gestire la sicurezza del servizio?;;;;;;;;;;;
40;;;;;;;;;;;;;;;Si intende fornire alla propria forza lavoro di strumenti di produttivit… in maniera rapida?;;;;;;;;;;;
41;;;;;;;;;;;;;;;Si desidera consentire l'accesso a nuove risorse mediante un modello self-provisioning?;;;;;;;;;;;
42;;;;;;;;;;;;;;;Si intende effettuare investimenti in hardware?;;;;;;;;;;;
43;;;;;;;;;;;;;;;Posso disporre di un team atto a gestire l'acquisizione di prodotti software e delle relative licenze?;;;;;;;;;;;
44;;;;;;;;;;;;;;;C'Š una cultura aziendale atta a recepire il paradigma del Cloud Computing? ;;;;;;;;;;;
45;;;;;;;;;;;;;;;Il timore della scomparsa dal mercato del Cloud Provider Š sentito?;;;;;;;;;;;
46;;;;;;;;;;;;;;;Ci sono competenze architetturali per allestire un'infrastruttura Cloud privata?;;;;;;;;;;;
47;;;;;;;;;;;;;;;Prevedo la possibilit… di apportare modifiche custom all'applicativo software?;;;;;;;;;;;
48;;;;;;;;;;;;;;;Desidero disporre di soluzioni software che implementano processi standard?;;;;;;;;;;;
49;;;;;;;;;;;;;;;Desidero ottenere una soluzione software impiegando al minimo le risorse del dipartimento IT ?;;;;;;;;;;;
50;;;;;;;;;;;;;;;Devo migrare funzionalit… esistenti che siano tipicamente disponibili in Cloud senza la necessit… di customizzazioni?;;;;;;;;;;;
51;;;;;;;;;;;;;;;Devo migrare un applicativo esistente on-premises, sviluppato su una piattaforma software che trova una soluzione equivalente nel Cloud?;;;;;;;;;;;
52;;;;;;;;;;;;;;;Desidero evitare che agli utenti vengano proposte interfacce diverse da quelle a cui sono solitamente abituati?;;;;;;;;;;;
53;;;;;;;;;;;;;;;Si rende necessaria un'integrazione a livello presentation?;;;;;;;;;;;
54;;;;;;;;;;;;;;;Si rende necessaria un'integrazione a livello servizi?;;;;;;;;;;;
55;;;;;;;;;;;;;;;Ci sono competenze interne per lo sviluppo di soluzioni software?;;;;;;;;;;;
56;;;;;;;;;;;;;;;Si intende coinvolgere il reparto ICT per gestire una infrastruttura fisica di elaborazione?;;;;;;;;;;;
57;;;;;;;;;;;;;;;Si intendere coinvolgere il reparto ICT per gestire una piattaforma applicativa sulla quale sviluppare e eseguire le proprie applicazioni?;;;;;;;;;;;
58;;;;;;;;;;;;;;;Si intendere coinvolgere il reparto ICT per gestire la sola l?applicazione?;;;;;;;;;;;
59;;;;;;;;;;;;;;;La mia applicazione ha la necessit… di essere distribuita tra ambiente on-premises ed off-premises?;;;;;;;;;;;
